                                 The SAS System                                1
                                         Wednesday, January 21, 2026 12:21:00 PM

                           Obs    curcdd           n

                             1     EUR      47691233
                             2     JPY      31756491
                             3     CNY      25462741
                             4     GBP      20561720
                             5     INR      20555693
                             6     KRW      15582955
                             7     HKD      14632508
                             8     AUD      13752538
                             9     TWD      11605596
                            10     THB       8947264
                            11     MYR       6804240
                            12     USD       5994943
                            13     SEK       5897846
                            14     SGD       4708542
                            15     CHF       4091986
                            16     PLN       3978679
                            17     ILS       3512357
                            18     BRL       3472308
                            19     IDR       3364170
                            20     ZAR       3194088
                            21     VND       3040745
                            22     NOK       2561733
                            23     PKR       2521197
                            24     TRY       2211028
                            25     MXN       2166810
                            26     DKK       2017215
                            27     PHP       1667126
                            28     BDT       1556418
                            29     LKR       1505253
                            30     SAR       1230512
                            31     JOD       1227527
                            32     CLP       1227496
                            33     RUB       1191251
                            34     EGP       1177843
                            35     RON       1158897
                            36     NZD       1110040
                            37     KWD       1059044
                            38     FRF       1030909
                            39     NGN        903937
                            40     BGN        877820
                            41     ARS        846118
                            42     DEM        830826
                            43     PEN        699848
                            44     ITL        686901
                            45     AED        668976
                            46     OMR        625471
                            47     HRK        539060
                            48     TRL        501840
                            49     RSD        435362
                            50     MAD        408427
                            51     NLG        400675
                            52     COP        395364
                            53     TND        389136
                            54     HUF        377777
                            55     MUR        336234
                            56     UAH        325458
                            57     JMD        322210
                            58     CZK        319803
                            59     KES        315137
                            60     ESP        297752
                            61     QAR        277880
                            62     BEF        245316
                            63     GRD        205066
                            64     ATS        193253
                            65     FIM        176667
                            66                176416
                            67     BHD        173044
                            68     XOF        172365
                            69     KZT        153401
                            70     GHS        130814
                            71     BWP        126828
                            72     ISK        122673
                            73     ZWD        121055
                            74     TTD        107699
                            75     CYP        100191
                            76     PTE         90137
                            77     IEP         89397
                            78     ZMW         83848
                            79     ZWL         80456
                            80     VES         79825
                            81     TZS         75962
                            82     LTL         72686
                            83     VEF         71754
                            84     SIT         70418
                            85     VEB         69405
                            86     IRR         65390
                            87     LVL         63378
                            88     MWK         49047
                            89     NAD         43272
                            90     BMD         37135
                            91     RUR         35924
                            92     UGX         33162
                            93     MXP         32278
                            94     BRE         32215
                            95     ROL         31485
                            96     SKK         20277
                            97     ZMK         17735
                            98     BRR         16477
                            99     LUF         15099
                           100     EEK         13517
                           101     MTL          9449
                           102     ZWG          9184
                           103     CAD          8727
                           104     PLZ          4734
                           105     ARA          2628
                           106     GHC          1712
                           107     XEU           816
                           108     LBP           781
                           109     ECS           150
                           110     BGL            26
                           111     AZM            20
                           112     STD             9
                           113     AFA             1
                           114     KYD             1
                           115     SLL             1
