                                 The SAS System                                1
                                        Wednesday, February 18, 2026 01:55:00 PM

                           Obs    curcdd           n

                             1     EUR      48130467
                             2     JPY      31841749
                             3     CNY      25687260
                             4     INR      20676444
                             5     GBP      20636852
                             6     KRW      15657569
                             7     HKD      14717583
                             8     AUD      13812258
                             9     TWD      11656464
                            10     THB       8987656
                            11     MYR       6825485
                            12     USD       6077323
                            13     SEK       5931008
                            14     SGD       4721988
                            15     CHF       4122419
                            16     PLN       3992086
                            17     ILS       3587757
                            18     BRL       3502256
                            19     IDR       3382334
                            20     ZAR       3205190
                            21     VND       3053240
                            22     NOK       2571955
                            23     PKR       2539183
                            24     TRY       2222770
                            25     MXN       2183025
                            26     DKK       2036413
                            27     PHP       1672114
                            28     BDT       1564219
                            29     LKR       1510953
                            30     SAR       1239873
                            31     CLP       1231894
                            32     JOD       1231733
                            33     RUB       1195583
                            34     EGP       1182754
                            35     RON       1165030
                            36     NZD       1112909
                            37     KWD       1062370
                            38     FRF       1030909
                            39     NGN        907062
                            40     BGN        878820
                            41     ARS        849557
                            42     DEM        830826
                            43     PEN        702299
                            44     ITL        686901
                            45     AED        676850
                            46     OMR        628046
                            47     HRK        539079
                            48     TRL        501840
                            49     RSD        438074
                            50     MAD        409890
                            51     NLG        400675
                            52     COP        397497
                            53     TND        390694
                            54     HUF        379677
                            55     MUR        337564
                            56     UAH        326370
                            57     JMD        324376
                            58     CZK        320694
                            59     KES        316296
                            60     ESP        297752
                            61     QAR        279191
                            62     BEF        245316
                            63     GRD        205066
                            64     ATS        193253
                            65                180573
                            66     FIM        176667
                            67     BHD        173711
                            68     XOF        173239
                            69     KZT        152798
                            70     GHS        131422
                            71     BWP        127379
                            72     ISK        123251
                            73     ZWD        121055
                            74     TTD        107545
                            75     CYP        100191
                            76     PTE         90137
                            77     IEP         89397
                            78     ZMW         84304
                            79     VES         80724
                            80     ZWL         80475
                            81     TZS         75651
                            82     LTL         72686
                            83     VEF         71754
                            84     SIT         70418
                            85     VEB         69405
                            86     IRR         65390
                            87     LVL         63378
                            88     MWK         49332
                            89     NAD         43272
                            90     BMD         37304
                            91     RUR         35924
                            92     UGX         33371
                            93     MXP         32278
                            94     BRE         32215
                            95     ROL         31485
                            96     SKK         20277
                            97     ZMK         17735
                            98     BRR         16477
                            99     LUF         15099
                           100     EEK         13517
                           101     ZWG          9906
                           102     MTL          9449
                           103     CAD          9410
                           104     PLZ          4734
                           105     ARA          2628
                           106     GHC          1712
                           107     XEU           816
                           108     LBP           781
                           109     ECS           150
                           110     BGL            26
                           111     AZM            20
                           112     STD             9
                           113     AFA             1
                           114     KYD             1
                           115     SLL             1
